,composition,gfa
0,Al,False
1,Al(NiB)2,True
2,Al10Co21B19,True
3,Al10Co23B17,True
4,Al10Co27B13,True
5,Al10Co29B11,False
6,Al10Co31B9,False
7,Al10Co33B7,False
8,Al10Cr3Si7,True
9,Al10Fe23B17,True
10,Al10Fe27B13,True
11,Al10Fe31B9,True
12,Al10Fe33B7,True
13,Al10Ni23B17,True
14,Al10Ni27B13,True
15,Al10Ni29B11,True
16,Al10Ni31B9,True
17,Al10Ni33B7,False
18,Al10V3Ge7,False
19,Al11(CrSi2)3,True
20,Al11(VGe2)3,True
21,Al11Cr2Si7,True
22,Al11Cr4Si5,False
23,Al11Cr5Si4,False
24,Al11V2Cu7,True
25,Al11V2Ge7,True
26,Al11V4Ge5,False
27,Al12Co21B17,True
28,Al12Co25B13,True
29,Al12Co27B11,False
30,Al12Cr3Si5,True
31,Al12Cr5Si3,False
32,Al12CrSi7,False
33,Al12Ni25B13,True
34,Al12Ni27B11,False
35,Al12Ni29B9,False
36,Al12Ni31B7,False
37,Al12V3Cu5,False
38,Al12V3Ge5,True
39,Al12VCu7,False
40,Al12VGe7,False
41,Al13Cr2Si5,True
42,Al13Cr3Si4,False
43,Al13Cr4Ge3,False
44,Al13Cr4Si3,False
45,Al13Cr5Si2,False
46,Al13Fe3Ni4,False
47,Al13Fe4Cu3,True
48,Al13Ni6Mo,True
49,Al13Si4Ni3,True
50,Al13V2Cu5,True
51,Al13V2Ge5,True
52,Al13V3Cu4,True
53,Al13V3Ge4,False
54,Al13V4Cu3,False
55,Al13VCu6,True
56,Al13VGe6,False
57,Al14(CrSi)3,False
58,Al14(FeNi)3,True
59,Al14(Ni7B5)3,False
60,Al14(SiNi)3,True
61,Al14Cr5Si,False
62,Al14CrSi5,False
63,Al14Ni25B11,False
64,Al14Ni5Mo,True
65,Al14VCu5,False
66,Al14VGe5,False
67,Al15Co2Si3,True
68,Al15Cr2Si3,False
69,Al15Cr3Si2,False
70,Al15Cr4Si,False
71,Al15CrSi4,False
72,Al15Ni3Mo2,True
73,Al15Ni4Mo,True
74,Al15V2Cu3,True
75,Al15V2Ge3,False
76,Al15V3Cu2,False
77,Al15VCu4,True
78,Al16CrSi3,False
79,Al16Ni3Mo,True
80,Al16V3Cu,False
81,Al16VCu3,True
82,Al17Co2Ni,False
83,Al17CoNi2,False
84,Al17Cr2Si,False
85,Al17Cr3,False
86,Al17CrSi2,False
87,Al17FeNi2,False
88,Al17Ni2Mo,True
89,Al17V2Cu,True
90,Al18CoNi,False
91,Al18CrSi,False
92,Al18FeCu,True
93,Al18FeNi,False
94,Al19Cr5Ge26,True
95,Al2(Co11B5)3,True
96,Al2(Co13B3)3,True
97,Al2(Fe13B3)3,True
98,Al2(Ni11B5)3,True
99,Al2(Ni13B3)3,True
100,Al2(Ni9B7)3,True
101,Al21(CoNi)2,False
102,Al21(FeNi)2,True
103,Al21Co5Ge24,True
104,Al21Cr4,False
105,Al21Fe5Ge24,True
106,Al21FeCo3,False
107,Al21FeNi3,False
108,Al22Co2Ni,False
109,Al22Co3,False
110,Al22CoNi2,True
111,Al22Cr3,False
112,Al22Fe2Co,False
113,Al22Fe2Ni,False
114,Al22Fe3,False
115,Al22FeCo2,False
116,Al22FeNi2,False
117,Al22Ni3,False
118,Al23Co2,False
119,Al23CoNi,False
120,Al23Cr2,False
121,Al23Fe2,False
122,Al23FeCo,False
123,Al23FeNi,False
124,Al23Ni2,False
125,Al24Co,False
126,Al24Cr,False
127,Al24Fe,False
128,Al24Ni,False
129,Al26Cr5Si19,True
130,Al26V5Ge19,True
131,Al27Mo23,True
132,Al29Cr10Si11,False
133,Al2Co31B17,True
134,Al2Co35B13,True
135,Al2Co37B11,True
136,Al2Co41B7,False
137,Al2Co43B5,False
138,Al2Co5B3,True
139,Al2Co7B,False
140,Al2Cu3,False
141,Al2Fe37B11,True
142,Al2Fe41B7,True
143,Al2Fe43B5,False
144,Al2Fe5B3,True
145,Al2Ni29B19,True
146,Al2Ni31B17,True
147,Al2Ni35B13,True
148,Al2Ni37B11,True
149,Al2Ni5B3,True
150,Al2VGe,False
151,Al30Cr9Si11,False
152,Al32Ni5Ge13,True
153,Al33Mo17,True
154,Al33Si12Ni5,True
155,Al34(Si7Mo15)3,True
156,Al34Cr5Si11,True
157,Al34V5Ge11,True
158,Al35Fe7Cu8,False
159,Al35Fe7Ni8,True
160,Al35Fe8Ni7,True
161,Al36(FeNi)7,True
162,Al39Co5Ge6,True
163,Al39Fe5Ge6,True
164,Al3CrSi,False
165,Al3Cu,False
166,Al3Cu2,False
167,Al3Fe80P17,True
168,Al3VGe,False
169,Al41Fe2Ni7,False
170,Al42Fe3Ni5,False
171,Al42Fe7Si,False
172,Al42FeCo7,False
173,Al42FeNi7,False
174,Al43Co7,False
175,Al43CoNi6,False
176,Al43Cr7,False
177,Al43Fe2Co5,False
178,Al43Fe2Ni5,False
179,Al43Fe3Co4,False
180,Al43Fe3Ni4,False
181,Al43Fe4Co3,False
182,Al43Fe4Ni3,False
183,Al43Fe5Co2,False
184,Al43Fe5Ni2,False
185,Al43Fe6Ni,False
186,Al43Fe6Si,False
187,Al43FeCo6,True
188,Al43FeNi6,True
189,Al43Ni7,False
190,Al44(CoNi)3,False
191,Al44(FeCo)3,False
192,Al44(FeNi)3,False
193,Al44Co5Ni,False
194,Al44CoNi5,False
195,Al44Cr5Si,False
196,Al44Fe5Co,False
197,Al44Fe5Ni,False
198,Al44Fe5Si,False
199,Al44FeCo5,False
200,Al44FeNi5,False
201,Al45Co2Ni3,False
202,Al45Co3Ni2,False
203,Al45Co4Ni,False
204,Al45CoNi4,False
205,Al45Fe2Co3,False
206,Al45Fe2Ni3,False
207,Al45Fe3Co2,False
208,Al45Fe3Ni2,False
209,Al45Fe4Co,False
210,Al45Fe4Ni,False
211,Al45Fe4Si,False
212,Al45FeCo4,False
213,Al45FeNi4,False
214,Al46Co3Ni,False
215,Al46CoNi3,False
216,Al46Fe3Co,False
217,Al46Fe3Ni,False
218,Al46FeCo3,False
219,Al46FeNi3,False
220,Al47Co2Ni,False
221,Al47Co3,False
222,Al47CoNi2,False
223,Al47Cr3,False
224,Al47Fe2Co,False
225,Al47Fe2Ni,False
226,Al47Fe3,False
227,Al47FeCo2,False
228,Al47FeNi2,False
229,Al47Ni3,False
230,Al48CoNi,False
231,Al48FeCo,False
232,Al48FeNi,False
233,Al49Co,False
234,Al49Co10Si41,True
235,Al49Fe,False
236,Al49Ni,False
237,Al4Co29B17,True
238,Al4Co31B15,True
239,Al4Co33B13,True
240,Al4Co35B11,True
241,Al4Co37B9,True
242,Al4Co39B7,False
243,Al4Co41B5,False
244,Al4Cr,False
245,Al4Cu,False
246,Al4Fe35B11,True
247,Al4Fe37B9,True
248,Al4Fe39B7,True
249,Al4Fe41B5,False
250,Al4Ni,False
251,Al4Ni25B21,True
252,Al4Ni27B19,True
253,Al4Ni29B17,True
254,Al4Ni31B15,True
255,Al4Ni33B13,True
256,Al4Ni35B11,True
257,Al4Ni37B9,True
258,Al52Co23Si25,True
259,Al52Fe23Ge25,True
260,Al52Fe23Si25,True
261,Al52Si25Ni23,True
262,Al53Si16Mo31,True
263,Al57Co18Ge25,True
264,Al57Cr23Si20,False
265,Al57Cr28Si15,False
266,Al57Fe27Ni16,False
267,Al57V18Ge25,True
268,Al58Cr17Si25,True
269,Al59Cr19Si22,False
270,Al59Ni10Ge31,True
271,Al5Fe2Cu3,False
272,Al5V2Ge3,False
273,Al5VCu4,False
274,Al5VGe4,False
275,Al6(Co3B)11,True
276,Al6(Fe3B)11,True
277,Al6(Ni3B)11,True
278,Al61(Cr7Si6)3,False
279,Al61Cr10Ge29,True
280,Al62(CrSi)19,False
281,Al62.5Fe12.5Cu25,False
282,Al62Fe17Cu21,False
283,Al62Ni13Ge25,True
284,Al63Cr15Si22,False
285,Al63Cr19Si18,False
286,Al63Fe12Si25,True
287,Al63Si6Mo31,True
288,Al64Fe13Cu23,False
289,Al65(Fe3Ni2)7,False
290,Al65Si17.5Ni17.5,True
291,Al65Si19Ni16,True
292,Al66.5Si18.5Ni15,True
293,Al67(Fe7Ni4)3,False
294,Al67.5Si17.5Ni15,True
295,Al67V13Cu20,True
296,Al68Cr15Si17,False
297,Al69Co6Ge25,True
298,Al69Fe13Cu18,False
299,Al69Fe6Ge25,True
300,Al69Ni6Ge25,True
301,Al69V6Ge25,True
302,Al6Co25B19,True
303,Al6Co27B17,True
304,Al6Co29B15,True
305,Al6Co31B13,True
306,Al6Co35B9,True
307,Al6Co37B7,False
308,Al6Co39B5,False
309,Al6Co41B3,False
310,Al6Co9B10,True
311,Al6Cr3Si,False
312,Al6CrGe3,True
313,Al6CrSi3,True
314,Al6Fe37B7,True
315,Al6Fe39B5,False
316,Al6Fe41B3,False
317,Al6Ni27B17,True
318,Al6Ni29B15,True
319,Al6Ni31B13,True
320,Al6Ni35B9,True
321,Al6Ni37B7,False
322,Al6NiGe3,True
323,Al6VCu3,True
324,Al6VGe3,True
325,Al70Si17Ni13,True
326,Al71Co4Si25,True
327,Al71Cr4Si25,True
328,Al71Fe15Cu14,True
329,Al71Si25Ni4,True
330,Al72Fe13Ni15,False
331,Al73Fe13Cu14,False
332,Al75Fe14Ni11,True
333,Al77V3Cu20,False
334,Al78Fe7Cu15,False
335,Al79(FeNi2)7,True
336,Al79Si11Ni10,True
337,Al7Cr2Si,False
338,Al7CrSi2,False
339,Al7Cu3,False
340,Al7Fe2Ni,True
341,Al7Ni18,False
342,Al7Ni2Mo,True
343,Al7Ni3,False
344,Al7VCu2,True
345,Al7VGe2,False
346,Al8(Co11B3)3,True
347,Al8(Co5B)7,True
348,Al8(Co9B5)3,True
349,Al8(Fe11B3)3,True
350,Al8(Fe5B)7,True
351,Al8(Ni11B3)3,True
352,Al8(Ni5B)7,False
353,Al8(Ni9B5)3,True
354,Al81Cr19,False
355,Al82(Fe5Ni)3,True
356,Al83Cr17,False
357,Al83Fe3Ni14,False
358,Al84Fe3Ni13,False
359,Al85(FeNi4)3,False
360,Al85(Ni4Mo)3,True
361,Al85CoNi14,False
362,Al85Fe2Ni13,False
363,Al85Fe8Si7,False
364,Al85FeNi14,False
365,Al86(FeNi)7,False
366,Al86.7Fe1Ni12.3,True
367,Al86Co3Ni11,False
368,Al86Co5Ni9,False
369,Al86CoNi13,False
370,Al86Fe3Ni11,True
371,Al86Fe5Ni9,False
372,Al86FeNi13,False
373,Al87.5Fe0.5Ni12,True
374,Al87.5Fe2Ni10.5,True
375,Al87.5Fe3.5Ni9,True
376,Al87Co2Ni11,True
377,Al87Co3Ni10,False
378,Al87Co4Ni9,False
379,Al87Co5Ni8,False
380,Al87CoNi12,True
381,Al87Fe2Co11,True
382,Al87Fe2Ni11,True
383,Al87Fe3Ni10,True
384,Al87Fe4Co9,False
385,Al87Fe4Ni9,False
386,Al87Fe5Ni8,False
387,Al87Fe6Ni7,False
388,Al87FeNi12,True
389,Al87V5Cu8,False
390,Al87V8Cu5,False
391,Al88(Co3Ni)3,False
392,Al88(CoNi3)3,False
393,Al88(FeNi3)3,True
394,Al88.5Fe3Ni8.5,True
395,Al88Co11Ni,False
396,Al88Co5Ni7,True
397,Al88Co7Ni5,False
398,Al88CoNi11,False
399,Al88Fe5Ni7,False
400,Al88FeNi11,True
401,Al89Co2Ni9,False
402,Al89Co3Ni8,False
403,Al89Co4Ni7,False
404,Al89Co5Ni6,False
405,Al89Co6Ni5,False
406,Al89CoNi10,False
407,Al89Fe2Ni9,False
408,Al89Fe3Ni8,False
409,Al89Fe4Ni7,False
410,Al89Fe5Ni6,False
411,Al89Fe6Ni5,False
412,Al89Fe7Ni4,False
413,Al89Fe9Ni2,False
414,Al89FeNi10,False
415,Al8Co25B17,True
416,Al8Co29B13,True
417,Al8Co31B11,True
418,Al8Co37B5,False
419,Al8CrSi,False
420,Al8Fe29B13,True
421,Al8Fe31B11,True
422,Al8Fe37B5,False
423,Al8Ni23B19,True
424,Al8Ni25B17,True
425,Al8Ni29B13,True
426,Al8Ni31B11,True
427,Al8VCu,True
428,Al90FeNi9,False
429,Al91(Fe2Ni)3,False
430,Al91(FeNi2)3,False
431,Al91Co2Ni7,False
432,Al91CoNi8,False
433,Al91Fe2Ni7,False
434,Al91FeNi8,False
435,Al92Fe5Ni3,False
436,Al9Co,False
437,Al9Cr,False
438,Al9Cr3Si8,False
439,Al9Cr4Si7,False
440,Al9Fe,False
441,Al9Ni,False
442,Al9V3Ge8,False
443,AlCu,False
444,AlFe17Si2,True
445,B12Mo23Ru15,True
446,B15(Mo3Ru2)17,True
447,B3Mo17,False
448,B3Mo7,False
449,B5(Mo3Rh7)2,True
450,B8Mo55.5Ru36.5,True
451,BMo3,False
452,BMo4,False
453,BMo8P,True
454,BMo9,False
455,Ba10La53.5Cu36.5,True
456,Ba10La56.5Cu33.5,True
457,Ba2(La9Cu7)3,True
458,Ba2La11Cu7,True
459,Ba2La13Cu10,True
460,Ba2La59Cu39,True
461,Ba2La71Cu27,True
462,Ba3La56Cu41,True
463,Ba3La57Cu40,True
464,Ba4(La23Cu9)3,True
465,Ba4.5La68Cu27.5,True
466,Ba4La31Cu15,True
467,Ba5La29Cu16,True
468,Ba5La53Cu42,True
469,Ba67La28Cu5,True
470,Ba7.5La63.5Cu29,True
471,Ba7La51.5Cu41.5,True
472,Ba7La65Cu28,True
473,Ba9(La4Cu3)13,True
474,Ba9.5La52.5Cu38,True
475,Ba9La60Cu31,True
476,BaLa61Cu38,True
477,Be2Fe7B,True
478,Ca(La5Cu2)7,True
479,Ca1.25Al88.75Ni10,False
480,Ca1.5La71Cu27.5,True
481,Ca10Al87.5Fe2.5,False
